State,Case number,Vehicle count,Person count
North Carolina,370354,1,1
North Carolina,370355,1,1
North Carolina,370356,3,3
North Carolina,370357,1,2
North Carolina,370358,2,4
North Carolina,370359,2,3
North Carolina,370360,2,2
North Carolina,370361,1,1
North Carolina,370362,1,2
North Carolina,370363,1,2
North Carolina,370364,1,1
North Carolina,370365,1,1
North Carolina,370366,1,1
North Carolina,370367,1,1
North Carolina,370368,1,1
North Carolina,370369,1,2
North Carolina,370370,1,1
North Carolina,370371,2,3
North Carolina,370372,2,2
North Carolina,370373,1,1
North Carolina,370374,1,2
North Carolina,370375,2,3
North Carolina,370376,3,3
North Carolina,370377,2,3
North Carolina,370378,1,3
North Carolina,370379,2,2
North Carolina,370380,2,3
North Carolina,370381,1,3
North Carolina,370383,2,2
North Carolina,370384,1,1
North Carolina,370385,2,2
North Carolina,370386,2,2
North Carolina,370387,1,1
North Carolina,370389,1,1
North Carolina,370390,1,1
North Carolina,370391,2,4
North Carolina,370392,1,1
North Carolina,370393,2,3
North Carolina,370394,2,2
North Carolina,370395,1,2
North Carolina,370396,1,1
North Carolina,370397,1,2
North Carolina,370398,1,1
North Carolina,370399,3,4
North Carolina,370400,1,1
North Carolina,370401,1,3
North Carolina,370402,1,2
North Carolina,370403,1,1
North Carolina,370404,1,1
North Carolina,370405,2,8
North Carolina,370406,1,1
North Carolina,370407,2,2
North Carolina,370408,2,2
North Carolina,370409,1,1
North Carolina,370410,2,2
North Carolina,370411,3,1
North Carolina,370412,2,3
North Carolina,370413,1,1
North Carolina,370414,1,1
North Carolina,370415,2,2
North Carolina,370416,1,1
North Carolina,370417,1,1
North Carolina,370418,1,1
North Carolina,370419,1,1
North Carolina,370420,2,2
North Carolina,370421,2,6
North Carolina,370422,3,3
North Carolina,370423,1,1
North Carolina,370424,1,2
North Carolina,370425,2,2
North Carolina,370426,1,1
North Carolina,370427,2,5
North Carolina,370428,1,1
North Carolina,370429,1,1
North Carolina,370430,1,1
North Carolina,370431,2,4
North Carolina,370432,2,3
North Carolina,370433,2,2
North Carolina,370434,2,4
North Carolina,370435,1,1
North Carolina,370436,2,2
North Carolina,370437,1,1
North Carolina,370438,2,2
North Carolina,370439,1,3
North Carolina,370440,2,2
North Carolina,370441,3,6
North Carolina,370442,1,2
North Carolina,370443,1,1
North Carolina,370444,1,1
North Carolina,370445,2,2
North Carolina,370446,2,4
North Carolina,370447,2,2
North Carolina,370448,2,2
North Carolina,370449,1,1
North Carolina,370450,2,2
North Carolina,370451,1,2
North Carolina,370452,1,2
North Carolina,370453,2,2
North Carolina,370454,2,2
North Carolina,370455,2,4
North Carolina,370456,2,3
North Carolina,370457,1,1
North Carolina,370458,1,1
North Carolina,370459,1,1
North Carolina,370460,1,2
North Carolina,370461,2,2
North Carolina,370462,1,1
North Carolina,370463,2,4
North Carolina,370464,2,3
North Carolina,370465,1,1
North Carolina,370466,1,1
North Carolina,370467,1,1
North Carolina,370468,1,1
North Carolina,370469,2,4
North Carolina,370470,1,1
North Carolina,370471,1,4
North Carolina,370472,1,1
North Carolina,370473,1,2
North Carolina,370474,1,1
North Carolina,370475,1,1
North Carolina,370476,1,2
North Carolina,370477,2,2
North Carolina,370478,1,1
North Carolina,370479,2,2
North Carolina,370480,2,2
North Carolina,370481,1,2
North Carolina,370482,1,3
North Carolina,370483,1,1
North Carolina,370484,1,1
North Carolina,370485,2,3
North Carolina,370486,1,1
North Carolina,370487,1,3
North Carolina,370488,1,1
North Carolina,370489,3,3
North Carolina,370490,2,2
North Carolina,370491,1,1
North Carolina,370492,2,2
North Carolina,370493,1,1
North Carolina,370494,2,2
North Carolina,370495,1,1
North Carolina,370496,2,4
North Carolina,370497,1,1
North Carolina,370498,2,2
North Carolina,370499,2,1
North Carolina,370500,1,2
North Carolina,370501,1,1
North Carolina,370502,2,2
North Carolina,370503,1,2
North Carolina,370504,1,1
North Carolina,370505,2,2
North Carolina,370506,2,3
North Carolina,370507,2,3
North Carolina,370508,2,2
North Carolina,370509,1,1
North Carolina,370510,1,2
North Carolina,370511,2,2
North Carolina,370512,1,1
North Carolina,370513,1,1
North Carolina,370514,1,4
North Carolina,370515,1,1
North Carolina,370516,2,2
North Carolina,370517,1,1
North Carolina,370518,2,5
North Carolina,370519,1,1
North Carolina,370520,2,3
North Carolina,370521,2,3
North Carolina,370522,1,1
North Carolina,370523,2,2
North Carolina,370524,1,1
North Carolina,370525,2,4
North Carolina,370526,1,1
North Carolina,370527,2,5
North Carolina,370528,2,3
North Carolina,370529,2,3
North Carolina,370530,1,2
North Carolina,370531,1,1
North Carolina,370532,3,6
North Carolina,370533,1,1
North Carolina,370534,2,3
North Carolina,370535,1,2
North Carolina,370536,1,2
North Carolina,370537,2,3
North Carolina,370538,2,3
North Carolina,370539,1,2
North Carolina,370540,1,1
North Carolina,370541,1,1
North Carolina,370542,2,3
North Carolina,370543,1,1
North Carolina,370544,2,2
North Carolina,370545,2,4
North Carolina,370546,2,3
North Carolina,370547,2,2
North Carolina,370548,1,1
North Carolina,370549,1,1
North Carolina,370550,1,1
North Carolina,370551,1,4
North Carolina,370552,1,2
North Carolina,370553,2,3
North Carolina,370554,1,1
North Carolina,370555,1,2
North Carolina,370556,1,4
North Carolina,370557,2,3
North Carolina,370558,2,3
North Carolina,370559,1,1
North Carolina,370560,3,3
North Carolina,370561,2,2
North Carolina,370562,2,4
North Carolina,370563,1,2
North Carolina,370564,2,4
North Carolina,370565,4,6
North Carolina,370566,1,1
North Carolina,370567,2,3
North Carolina,370568,2,2
North Carolina,370569,1,1
North Carolina,370570,2,4
North Carolina,370571,1,1
North Carolina,370572,2,3
North Carolina,370573,2,8
North Carolina,370574,1,2
North Carolina,370575,1,2
North Carolina,370576,1,2
North Carolina,370577,1,1
North Carolina,370578,2,3
North Carolina,370579,2,2
North Carolina,370580,2,3
North Carolina,370581,3,5
North Carolina,370582,2,2
North Carolina,370583,1,1
North Carolina,370584,1,2
North Carolina,370585,1,1
North Carolina,370586,2,5
North Carolina,370587,3,4
North Carolina,370588,2,2
North Carolina,370589,2,2
North Carolina,370590,1,1
North Carolina,370591,3,5
North Carolina,370592,2,3
North Carolina,370593,1,1
North Carolina,370594,1,1
North Carolina,370595,2,3
North Carolina,370596,2,5
North Carolina,370597,2,3
North Carolina,370598,1,1
North Carolina,370599,1,1
North Carolina,370600,2,2
North Carolina,370601,2,2
North Carolina,370602,3,3
North Carolina,370603,2,2
North Carolina,370604,1,1
North Carolina,370605,2,7
North Carolina,370606,1,1
North Carolina,370607,2,2
North Carolina,370608,1,1
North Carolina,370609,2,1
North Carolina,370610,2,6
North Carolina,370611,1,1
North Carolina,370612,1,1
North Carolina,370613,1,3
North Carolina,370614,1,1
North Carolina,370615,2,3
